Machine_ID,Temperature,Run_Time,Downtime_Flag
1,88.72700594236812,128.28626711806083,0
2,117.53571532049581,672.7693701374023,0
3,106.59969709057026,382.920382968694,0
4,99.93292420985183,557.7136220482325,1
5,77.80093202212183,916.8098265334837,0
6,77.79972601681013,324.36300623398745,0
7,72.90418060840997,469.3446307320668,0
8,113.30880728874675,779.9960246887438,0
9,100.05575058716045,305.9183489424602,0
10,105.40362888980228,169.2819188459137,0
11,71.02922471479012,360.77630762239124,0
12,118.49549260809971,245.09915852860397,0
13,111.62213204002109,936.7278871083157,0
14,80.61695553391381,827.3083416079753,0
15,79.09124836035502,670.0633808593811,0
16,79.17022549267169,884.3145311689459,0
17,85.21211214797688,823.304869209203,0
18,96.2378215816119,267.91305299743226,0
19,91.5972509321058,903.30309864098,0
20,84.5614570099021,585.4080177240857,1
21,100.59264473611897,826.6961396476563,0
22,76.97469303260209,906.4821699311439,0
23,84.6072324267609,386.2031274746775,0
24,88.31809216468459,199.04673207490907,0
25,92.8034992108518,305.1416462877475,0
26,109.25879806965068,484.3970097636307,0
27,79.98368910791798,836.2132893302438,1
28,95.71172192068059,874.6575249307091,0
29,99.62072844310212,106.25691747807163,1
30,72.3225206359999,559.6725723198092,0
31,100.37724259507192,475.6699028339011,0
32,78.52620618436458,299.8970294236572,0
33,73.25257964926398,207.87883060031453,0
34,117.44427686266667,403.8536542632652,0
35,118.28160165372796,948.6187335212672,0
36,110.41986740582306,390.8826388186797,0
37,85.23068845866854,566.9115595690295,0
38,74.8836057003192,732.7170630056601,0
39,104.21165132560785,427.26664214136457,0
40,92.00762468698007,974.6038744488646,0
41,76.10191174223894,966.2025654479002,1
42,94.75884550556351,326.60406624282774,1
43,71.71942605576092,547.5236553031468,1
44,115.4660201039391,370.7904788350927,0
45,82.93899908000084,356.35644493972086,0
46,103.1261142176991,133.1982526190795,1
47,85.58555380447055,648.6079005819072,0
48,96.00340105889055,552.4111209059754,1
49,97.33551396716399,146.33087612499043,1
50,79.24272277627635,350.7818178129503,1
51,118.47923138822793,917.4392973699884,0
52,108.75664116805572,315.6057016002752,0
53,116.97494707820945,230.40538488210078,1
54,114.74136752138244,540.5074842498068,0
55,99.89499894055426,987.0854086995406,0
56,116.09371175115584,317.84974436035037,0
57,74.42462510259597,704.9219926652906,1
58,79.79914312095725,785.4576537958458,0
59,72.26136444552691,313.8737895931597,0
60,86.26651653816322,755.3947137506736,0
61,89.4338644844741,431.0048194473279,0
62,83.5674515886948,669.0752475342215,1
63,111.43687545759647,670.1767396848053,0
64,87.83766633467947,582.1972156672826,0
65,84.04672548436903,181.26079304896746,1
66,97.13480415791243,851.7722460303141,0
67,77.04621124873813,388.70205847456225,0
68,110.10984903770199,267.8666593598688,0
69,73.72753218398854,136.6976273992875,0
70,119.34434683002587,631.8036488694177,0
71,108.61223846483287,709.8079256580542,1
72,79.93578407670861,114.92904603507054,1
73,70.27610585618012,560.8837524693529,1
74,110.77307142274171,303.84619767814416,1
75,105.34286719238085,680.6555113685049,0
76,106.45035840204937,256.92978610449234,0
77,108.56351733429729,721.8439642922193,0
78,73.70223258670453,448.0618116704837,0
79,87.92328642721363,943.0569898630611,0
80,75.79345297625649,223.7688497313939,0
81,113.15517129377967,406.95971594523263,1
82,101.1649063413779,202.12616911653015,0
83,86.54490124263246,932.2242564507065,0
84,73.17791751430119,889.6054180428829,0
85,85.54911608578311,332.14746494364005,0
86,86.25916610133736,693.9856414307611,0
87,106.4803089169032,835.4999801810942,0
88,101.87787356776066,599.6807304395161,0
89,114.36063712881634,576.6855205204058,0
90,93.61074625809746,317.6670618104065,0
91,75.97971229691508,183.7924910253093,0
92,105.66223936114974,907.494182157994,0
93,108.03925243084487,910.3762514469975,1
94,98.06385987847482,669.7913115459412,0
95,108.54835899772806,405.1268119438306,0
96,94.68977981821953,414.2886171513948,0
97,96.1366414690997,753.3601109832155,0
98,91.37705091792748,907.3992339573194,0
99,71.27095633720477,898.3777818386055,0
100,75.39457134966523,801.8879912718614,0
